"STATION","NAME","DATE","PRCP","SNOW","SNWD","WDF2","WDF5","WSF2","WSF5"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-19","0.06","0.7","5.1","   30","   30","17.0","21.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-20","0.00","0.0","5.1","  310","  330","25.1","33.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-21","0.00","0.0","5.1","  310","  310","21.0","23.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-22","0.58","0.4","3.9","  270","  280","25.1","30.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-23","0.00","0.0","2.0","  280","  280","25.1","33.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-24","0.00","0.0","1.2","  190","  190","32.0","38.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-25","0.00","0.0","0.0","  320","  310","35.1","40.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-26","0.00","0.0","0.0","  350","  350","18.1","21.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-27","0.43","0.0","0.0","  170","  170","21.9","28.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-28","0.25","0.0","0.0","  100","   90","16.1","19.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-01","0.15","0.0","0.0","  310","  310","38.0","48.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-02","0.00","0.0","0.0","  300","  290","38.9","48.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-03","0.00","0.0","0.0","  270","  280","19.9","23.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-04","0.00","0.0","0.0","  310","  300","35.1","42.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-05","0.00","0.0","0.0","  290","  310","31.1","40.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-06","0.00","0.0","0.0","  320","  330","25.1","32.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-07","0.00","0.0","0.0","  320","  320","21.0","25.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-08","0.00","0.0","0.0","  260","  330","15.0","21.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-09","0.00","0.0","0.0","  310","  320","21.9","27.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-10","0.00","0.0","0.0","  110","  120","18.1","21.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-11","0.00","0.0","0.0","  170","  190","19.9","23.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-12","0.00","0.0","0.0","  310","  250","30.0","38.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-13","0.00","0.0","0.0","  320","  330","40.9","55.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-14","0.00","0.0","0.0","  310","  320","46.1","53.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-15","0.00","0.0","0.0","  320","  340","36.9","48.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-16","0.01","0.0","0.0","   70","   90","13.0","14.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-17","0.00","0.0","0.0","  190","  130","12.1","14.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-18","0.64","0.0","0.0","   20","   20","23.0","30.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-19","0.08","0.0","0.0","  360","  360","33.1","38.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-20","0.00","0.0","0.0","  180","  350","16.1","19.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-21","0.00","0.0","0.0","  170","  170","13.0","15.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-22","0.00","0.0","0.0","  120","  110","15.0","18.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-23","0.00","0.0","0.0","  120","  120","14.1","18.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-24","0.69","0.0","0.0","  110","  110","23.0","30.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-25","0.02","0.0","0.0","  230","  240","16.1","19.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-26","0.00","0.0","0.0","  260","  270","40.9","52.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-27","0.00","0.0","0.0","  180","  190","23.0","25.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-28","0.79","0.0","0.0","  230","  220","38.0","49.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-29","0.00","0.0","0.0","  290","  290","36.9","46.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-30","0.00","0.0","0.0","  170","  160","25.1","31.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-31","0.70","0.0","0.0","  180","  180","29.1","36.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-01","0.03","0.0","0.0","  310","  310","30.0","36.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-02","0.00","0.0","0.0","  320","  320","28.0","35.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-03","0.00","0.0","0.0","  340","  310","21.0","23.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-04","0.00","0.0","0.0","  330","  330","21.9","28.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-05","0.00","0.0","0.0","  320","  320","32.0","38.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-06","0.00","0.0","0.0","  300","  320","21.0","27.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-07","0.00","0.0","0.0","  190","  180","15.0","17.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-08","0.00","0.0","0.0","  200","  200","15.0","18.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-09","0.00","0.0","0.0","  160","  180","13.0","16.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-10","0.06","0.0","0.0","  170","  180","12.1","16.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-11","0.44","0.0","0.0","   90","  100","25.9","33.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-12","0.49","0.0","0.0","   40","   50","23.0","30.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-13","0.06","0.0","0.0","   20","  350","17.0","21.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-14","0.00","0.0","0.0","  190","  240","16.1","19.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-15","0.82","0.0","0.0","  320","  340","23.9","29.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-16","0.09","0.0","0.0","  300","  300","25.1","32.0"
